Year,SERIES,REF_AREA,SEX,AGE,URBANISATION,EDUCATION_LEV,UNIT_MEASURE,UNIT_MULT,REPORTING_TYPE,TIME_DETAIL,Value
2010,SH_STA_OVRWGT,BI,F,_T,_T,_T,PT,0,N,2010,6.2
2017,SH_STA_OVRWGT,BI,F,_T,_T,_T,PT,0,N,2017,4.1
2010,SH_STA_OVRWGT,BI,M,_T,_T,_T,PT,0,N,2010,5.5
2017,SH_STA_OVRWGT,BI,M,_T,_T,_T,PT,0,N,2017,5.0
2010,SH_STA_OVRWGT,BI,_T,_T,_T,_T,PT,0,N,2010,6.0
2017,SH_STA_OVRWGT,BI,_T,_T,_T,_T,PT,0,N,2017,4.5
2018,SH_STA_OVRWGT,BI,_T,_T,_T,_T,PT,0,N,2018,29.0
2010,SH_STA_OVRWGT,BI,_T,M0T11,_T,_T,PT,0,N,2010,10.6
2017,SH_STA_OVRWGT,BI,_T,M0T11,_T,_T,PT,0,N,2017,6.7
2010,SH_STA_OVRWGT,BI,_T,M12T23,_T,_T,PT,0,N,2010,9.6
2017,SH_STA_OVRWGT,BI,_T,M12T23,_T,_T,PT,0,N,2017,6.3
2010,SH_STA_OVRWGT,BI,_T,M24T59,_T,_T,PT,0,N,2010,3.6
2017,SH_STA_OVRWGT,BI,_T,M24T59,_T,_T,PT,0,N,2017,3.4
