Year,SERIES,REF_AREA,SEX,AGE,URBANISATION,EDUCATION_LEV,UNIT_MEASURE,UNIT_MULT,REPORTING_TYPE,TIME_DETAIL,Value
2014,IT_MOB_OWN,BI,F,_T,_T,_T,PT,0,N,2014,12.5
2017,IT_MOB_OWN,BI,F,_T,_T,_T,PT,0,N,2017,23.6
2014,IT_MOB_OWN,BI,M,_T,_T,_T,PT,0,N,2014,22.0
2017,IT_MOB_OWN,BI,M,_T,_T,_T,PT,0,N,2017,47.5
2010,IT_MOB_OWN,BI,_T,_T,_T,_T,PT,0,N,2010,18.4
2011,IT_MOB_OWN,BI,_T,_T,_T,_T,PT,0,N,2011,17.8
2012,IT_MOB_OWN,BI,_T,_T,_T,_T,PT,0,N,2012,20.9
2013,IT_MOB_OWN,BI,_T,_T,_T,_T,PT,0,N,2013,23.0
2014,IT_MOB_OWN,BI,_T,_T,_T,_T,PT,0,N,2014,29.7
2015,IT_MOB_OWN,BI,_T,_T,_T,_T,PT,0,N,2015,48.0
2016,IT_MOB_OWN,BI,_T,_T,_T,_T,PT,0,N,2016,49.9
2017,IT_MOB_OWN,BI,_T,_T,_T,_T,PT,0,N,2017,50.1
2018,IT_MOB_OWN,BI,_T,_T,_T,_T,PT,0,N,2018,53.1
2014,IT_MOB_OWN,BI,_T,_T,U,_T,PT,0,N,2014,33.9
2017,IT_MOB_OWN,BI,_T,_T,U,_T,PT,0,N,2017,70.1
2014,IT_MOB_OWN,BI,_T,_T,R,_T,PT,0,N,2014,8.7
2017,IT_MOB_OWN,BI,_T,_T,R,_T,PT,0,N,2017,30.0
