Year,SERIES,REF_AREA,SEX,AGE,URBANISATION,EDUCATION_LEV,UNIT_MEASURE,UNIT_MULT,REPORTING_TYPE,TIME_DETAIL,Value
2011,IT_MOB_NTWK1,BI,_T,_T,_T,_T,PT,0,N,2011,17.8
2012,IT_MOB_NTWK1,BI,_T,_T,_T,_T,PT,0,N,2012,20.9
2013,IT_MOB_NTWK1,BI,_T,_T,_T,_T,PT,0,N,2013,23.0
2014,IT_MOB_NTWK1,BI,_T,_T,_T,_T,PT,0,N,2014,29.7
2015,IT_MOB_NTWK1,BI,_T,_T,_T,_T,PT,0,N,2015,48.0
2016,IT_MOB_NTWK1,BI,_T,_T,_T,_T,PT,0,N,2016,49.9
2017,IT_MOB_NTWK1,BI,_T,_T,_T,_T,PT,0,N,2017,51.8
2011,IT_MOB_NTWK2,BI,_T,_T,_T,_T,PT,0,N,2011,0.7
2012,IT_MOB_NTWK2,BI,_T,_T,_T,_T,PT,0,N,2012,1.9
2013,IT_MOB_NTWK2,BI,_T,_T,_T,_T,PT,0,N,2013,6.6
2014,IT_MOB_NTWK2,BI,_T,_T,_T,_T,PT,0,N,2014,7.3
2015,IT_MOB_NTWK2,BI,_T,_T,_T,_T,PT,0,N,2015,8.2
2016,IT_MOB_NTWK2,BI,_T,_T,_T,_T,PT,0,N,2016,8.5
2017,IT_MOB_NTWK2,BI,_T,_T,_T,_T,PT,0,N,2017,7.0
