Year,SERIES,REF_AREA,SEX,AGE,URBANISATION,EDUCATION_LEV,UNIT_MEASURE,UNIT_MULT,REPORTING_TYPE,TIME_DETAIL,Value
2013,VC_PRS_UNSEC,BI,_T,_T,_T,_T,PT,0,N,2013,51.59
2014,VC_PRS_UNSEC,BI,_T,_T,_T,_T,PT,0,N,2014,52.28
2015,VC_PRS_UNSEC,BI,_T,_T,_T,_T,PT,0,N,2015,54.52
2016,VC_PRS_UNSEC,BI,_T,_T,_T,_T,PT,0,N,2016,50.74
2017,VC_PRS_UNSEC,BI,_T,_T,_T,_T,PT,0,N,2017,51.46
2013,D176,BI,_T,_T,_T,_T,PT,0,N,2013,51.59
2014,D176,BI,_T,_T,_T,_T,PT,0,N,2014,52.28
2015,D176,BI,_T,_T,_T,_T,PT,0,N,2015,54.52
2016,D176,BI,_T,_T,_T,_T,PT,0,N,2016,50.74
2017,D176,BI,_T,_T,_T,_T,PT,0,N,2017,51.46
2018,D176,BI,_T,_T,_T,_T,PT,0,N,2018,46.26
