Year,SERIES,REF_AREA,SEX,AGE,URBANISATION,EDUCATION_LEV,UNIT_MEASURE,UNIT_MULT,REPORTING_TYPE,TIME_DETAIL,Value
2010,D197,BI,_T,_T,_T,_T,PT,0,N,2010,14.5
2011,D197,BI,_T,_T,_T,_T,PT,0,N,2011,16.7
2012,D197,BI,_T,_T,_T,_T,PT,0,N,2012,15.7
2013,D197,BI,_T,_T,_T,_T,PT,0,N,2013,14.7
2014,D197,BI,_T,_T,_T,_T,PT,0,N,2014,15.7
2015,D197,BI,_T,_T,_T,_T,PT,0,N,2015,13.4
2016,D197,BI,_T,_T,_T,_T,PT,0,N,2016,13.18
2017,D197,BI,_T,_T,_T,_T,PT,0,N,2017,13.23
2018,D197,BI,_T,_T,_T,_T,PT,0,N,2018,14.12
2010,D198,BI,_T,_T,_T,_T,PT,0,N,2010,7.7
2011,D198,BI,_T,_T,_T,_T,PT,0,N,2011,8.2
2012,D198,BI,_T,_T,_T,_T,PT,0,N,2012,9.1
2013,D198,BI,_T,_T,_T,_T,PT,0,N,2013,9.4
2014,D198,BI,_T,_T,_T,_T,PT,0,N,2014,9.9
2015,D198,BI,_T,_T,_T,_T,PT,0,N,2015,8.0
2016,D198,BI,_T,_T,_T,_T,PT,0,N,2016,7.7
2017,D198,BI,_T,_T,_T,_T,PT,0,N,2017,7.64
2018,D198,BI,_T,_T,_T,_T,PT,0,N,2018,8.12
2010,D199,BI,_T,_T,_T,_T,PT,0,N,2010,6.8
2011,D199,BI,_T,_T,_T,_T,PT,0,N,2011,8.5
2012,D199,BI,_T,_T,_T,_T,PT,0,N,2012,6.6
2013,D199,BI,_T,_T,_T,_T,PT,0,N,2013,5.3
2014,D199,BI,_T,_T,_T,_T,PT,0,N,2014,5.8
2015,D199,BI,_T,_T,_T,_T,PT,0,N,2015,5.4
2016,D199,BI,_T,_T,_T,_T,PT,0,N,2016,5.5
2017,D199,BI,_T,_T,_T,_T,PT,0,N,2017,5.59
2018,D199,BI,_T,_T,_T,_T,PT,0,N,2018,6.0
