Year,SERIES,REF_AREA,SEX,AGE,URBANISATION,EDUCATION_LEV,UNIT_MEASURE,UNIT_MULT,REPORTING_TYPE,TIME_DETAIL,Value
2012,D58,BI,_T,_T,_T,_T,PT,0,N,2012,0.48
2013,D58,BI,_T,_T,_T,_T,PT,0,N,2013,0.45
2014,D58,BI,_T,_T,_T,_T,PT,0,N,2014,0.3
2015,D58,BI,_T,_T,_T,_T,PT,0,N,2015,0.29
2016,D58,BI,_T,_T,_T,_T,PT,0,N,2016,0.37
2017,D58,BI,_T,_T,_T,_T,PT,0,N,2017,0.37
2012,D59,BI,_T,_T,_T,_T,PT,0,N,2012,0.78
2013,D59,BI,_T,_T,_T,_T,PT,0,N,2013,0.66
2014,D59,BI,_T,_T,_T,_T,PT,0,N,2014,0.41
2015,D59,BI,_T,_T,_T,_T,PT,0,N,2015,0.4
2016,D59,BI,_T,_T,_T,_T,PT,0,N,2016,0.54
2017,D59,BI,_T,_T,_T,_T,PT,0,N,2017,0.55
2012,D60,BI,_T,_T,_T,_T,PT,0,N,2012,0.2
2013,D60,BI,_T,_T,_T,_T,PT,0,N,2013,0.21
2014,D60,BI,_T,_T,_T,_T,PT,0,N,2014,0.19
2015,D60,BI,_T,_T,_T,_T,PT,0,N,2015,0.18
2016,D60,BI,_T,_T,_T,_T,PT,0,N,2016,0.2
2017,D60,BI,_T,_T,_T,_T,PT,0,N,2017,0.18
