Year,SERIES,REF_AREA,SEX,AGE,URBANISATION,EDUCATION_LEV,UNIT_MEASURE,UNIT_MULT,REPORTING_TYPE,TIME_DETAIL,Value
2010,SG_REG_BRTH,BI,F,Y0T4,_T,_T,PT,0,N,2010,75.2
2017,SG_REG_BRTH,BI,F,Y0T4,_T,_T,PT,0,N,2017,83.7
2010,SG_REG_BRTH,BI,M,Y0T4,_T,_T,PT,0,N,2010,74.9
2017,SG_REG_BRTH,BI,M,Y0T4,_T,_T,PT,0,N,2017,83.3
2010,SG_REG_BRTH,BI,_T,Y0T4,_T,_T,PT,0,N,2010,75.2
2014,SG_REG_BRTH,BI,_T,Y0T4,_T,_T,PT,0,N,2014,76.0
2017,SG_REG_BRTH,BI,_T,Y0T4,_T,_T,PT,0,N,2017,83.5
2010,SG_REG_BRTH,BI,_T,Y0T4,U,_T,PT,0,N,2010,86.6
2017,SG_REG_BRTH,BI,_T,Y0T4,U,_T,PT,0,N,2017,90.3
2010,SG_REG_BRTH,BI,_T,Y0T4,R,_T,PT,0,N,2010,74.1
2017,SG_REG_BRTH,BI,_T,Y0T4,R,_T,PT,0,N,2017,82.8
