Year,SERIES,REF_AREA,SEX,AGE,URBANISATION,EDUCATION_LEV,UNIT_MEASURE,UNIT_MULT,REPORTING_TYPE,TIME_DETAIL,Value
2010,D71,BI,_T,_T,_T,_T,PT,0,N,2010,25.0
2011,D71,BI,_T,_T,_T,_T,PT,0,N,2011,41.0
2012,D71,BI,_T,_T,_T,_T,PT,0,N,2012,30.0
2013,D71,BI,_T,_T,_T,_T,PT,0,N,2013,45.0
2014,D71,BI,_T,_T,_T,_T,PT,0,N,2014,36.3
2015,D71,BI,_T,_T,_T,_T,PT,0,N,2015,36.3
2016,D71,BI,_T,_T,_T,_T,PT,0,N,2016,30.0
2017,D71,BI,_T,_T,_T,_T,PT,0,N,2017,30.0
2018,D71,BI,_T,_T,_T,_T,PT,0,N,2018,28.5
2010,D72,BI,_T,_T,_T,_T,PT,0,N,2010,11.76
2011,D72,BI,_T,_T,_T,_T,PT,0,N,2011,11.76
2012,D72,BI,_T,_T,_T,_T,PT,0,N,2012,11.76
2013,D72,BI,_T,_T,_T,_T,PT,0,N,2013,11.76
2014,D72,BI,_T,_T,_T,_T,PT,0,N,2014,11.11
2015,D72,BI,_T,_T,_T,_T,PT,0,N,2015,16.6
2016,D72,BI,_T,_T,_T,_T,PT,0,N,2016,16.6
2017,D72,BI,_T,_T,_T,_T,PT,0,N,2017,16.6
2018,D72,BI,_T,_T,_T,_T,PT,0,N,2018,16.6
2010,D73,BI,_T,_T,_T,_T,PT,0,N,2010,16.15
2011,D73,BI,_T,_T,_T,_T,PT,0,N,2011,16.15
2012,D73,BI,_T,_T,_T,_T,PT,0,N,2012,16.15
2013,D73,BI,_T,_T,_T,_T,PT,0,N,2013,16.15
2014,D73,BI,_T,_T,_T,_T,PT,0,N,2014,16.15
2015,D73,BI,_T,_T,_T,_T,PT,0,N,2015,33.61
2016,D73,BI,_T,_T,_T,_T,PT,0,N,2016,33.61
2017,D73,BI,_T,_T,_T,_T,PT,0,N,2017,33.61
2018,D73,BI,_T,_T,_T,_T,PT,0,N,2018,33.61
2017,VC_VAW_MARR,BI,F,Y_GE15,_T,_T,PT,0,N,2017,27.8
