Year,SERIES,REF_AREA,SEX,AGE,URBANISATION,EDUCATION_LEV,UNIT_MEASURE,UNIT_MULT,REPORTING_TYPE,TIME_DETAIL,Value
2010,D49,BI,F,_T,_T,ISCED11_1,PT,0,N,2010,36.8
2011,D49,BI,F,_T,_T,ISCED11_1,PT,0,N,2011,38.7
2012,D49,BI,F,_T,_T,ISCED11_1,PT,0,N,2012,34.7
2013,D49,BI,F,_T,_T,ISCED11_1,PT,0,N,2013,29.6
2014,D49,BI,F,_T,_T,ISCED11_1,PT,0,N,2014,24.9
2015,D49,BI,F,_T,_T,ISCED11_1,PT,0,N,2015,22.3
2016,D49,BI,F,_T,_T,ISCED11_1,PT,0,N,2016,21.3
2017,D49,BI,F,_T,_T,ISCED11_1,PT,0,N,2017,20.9
2018,D49,BI,F,_T,_T,ISCED11_1,PT,0,N,2018,25.2
2010,D49,BI,F,_T,_T,ISCED11_2,PT,0,N,2010,35.2
2011,D49,BI,F,_T,_T,ISCED11_2,PT,0,N,2011,36.0
2012,D49,BI,F,_T,_T,ISCED11_2,PT,0,N,2012,32.2
2013,D49,BI,F,_T,_T,ISCED11_2,PT,0,N,2013,29.0
2014,D49,BI,F,_T,_T,ISCED11_2,PT,0,N,2014,13.0
2015,D49,BI,F,_T,_T,ISCED11_2,PT,0,N,2015,15.9
2016,D49,BI,F,_T,_T,ISCED11_2,PT,0,N,2016,21.9
2018,D49,BI,F,_T,_T,ISCED11_2,PT,0,N,2018,26.1
2010,D49,BI,F,_T,_T,ISCED11_3,PT,0,N,2010,21.6
2011,D49,BI,F,_T,_T,ISCED11_3,PT,0,N,2011,23.0
2012,D49,BI,F,_T,_T,ISCED11_3,PT,0,N,2012,22.5
2013,D49,BI,F,_T,_T,ISCED11_3,PT,0,N,2013,20.9
2014,D49,BI,F,_T,_T,ISCED11_3,PT,0,N,2014,19.2
2015,D49,BI,F,_T,_T,ISCED11_3,PT,0,N,2015,15.2
2016,D49,BI,F,_T,_T,ISCED11_3,PT,0,N,2016,13.1
2018,D49,BI,F,_T,_T,ISCED11_3,PT,0,N,2018,20.4
2010,D49,BI,M,_T,_T,ISCED11_1,PT,0,N,2010,35.6
2011,D49,BI,M,_T,_T,ISCED11_1,PT,0,N,2011,37.5
2012,D49,BI,M,_T,_T,ISCED11_1,PT,0,N,2012,34.2
2013,D49,BI,M,_T,_T,ISCED11_1,PT,0,N,2013,29.3
2014,D49,BI,M,_T,_T,ISCED11_1,PT,0,N,2014,25.3
2015,D49,BI,M,_T,_T,ISCED11_1,PT,0,N,2015,23.3
2016,D49,BI,M,_T,_T,ISCED11_1,PT,0,N,2016,23.4
2017,D49,BI,M,_T,_T,ISCED11_1,PT,0,N,2017,20.9
2018,D49,BI,M,_T,_T,ISCED11_1,PT,0,N,2018,27.3
2010,D49,BI,M,_T,_T,ISCED11_2,PT,0,N,2010,26.1
2011,D49,BI,M,_T,_T,ISCED11_2,PT,0,N,2011,29.6
2012,D49,BI,M,_T,_T,ISCED11_2,PT,0,N,2012,30.6
2013,D49,BI,M,_T,_T,ISCED11_2,PT,0,N,2013,25.8
2014,D49,BI,M,_T,_T,ISCED11_2,PT,0,N,2014,23.7
2015,D49,BI,M,_T,_T,ISCED11_2,PT,0,N,2015,13.0
2016,D49,BI,M,_T,_T,ISCED11_2,PT,0,N,2016,16.3
2018,D49,BI,M,_T,_T,ISCED11_2,PT,0,N,2018,23.8
2010,D49,BI,M,_T,_T,ISCED11_3,PT,0,N,2010,20.3
2011,D49,BI,M,_T,_T,ISCED11_3,PT,0,N,2011,22.0
2012,D49,BI,M,_T,_T,ISCED11_3,PT,0,N,2012,23.6
2013,D49,BI,M,_T,_T,ISCED11_3,PT,0,N,2013,19.3
2014,D49,BI,M,_T,_T,ISCED11_3,PT,0,N,2014,18.1
2015,D49,BI,M,_T,_T,ISCED11_3,PT,0,N,2015,12.5
2016,D49,BI,M,_T,_T,ISCED11_3,PT,0,N,2016,11.9
2018,D49,BI,M,_T,_T,ISCED11_3,PT,0,N,2018,18.5
2010,D49,BI,_T,_T,_T,ISCED11_1,PT,0,N,2010,36.2
2011,D49,BI,_T,_T,_T,ISCED11_1,PT,0,N,2011,38.1
2012,D49,BI,_T,_T,_T,ISCED11_1,PT,0,N,2012,34.4
2013,D49,BI,_T,_T,_T,ISCED11_1,PT,0,N,2013,29.4
2014,D49,BI,_T,_T,_T,ISCED11_1,PT,0,N,2014,25.3
2015,D49,BI,_T,_T,_T,ISCED11_1,PT,0,N,2015,22.8
2016,D49,BI,_T,_T,_T,ISCED11_1,PT,0,N,2016,22.3
2017,D49,BI,_T,_T,_T,ISCED11_1,PT,0,N,2017,22.0
2018,D49,BI,_T,_T,_T,ISCED11_1,PT,0,N,2018,26.3
2010,D49,BI,_T,_T,_T,ISCED11_2,PT,0,N,2010,33.9
2011,D49,BI,_T,_T,_T,ISCED11_2,PT,0,N,2011,34.3
2012,D49,BI,_T,_T,_T,ISCED11_2,PT,0,N,2012,38.8
2013,D49,BI,_T,_T,_T,ISCED11_2,PT,0,N,2013,28.1
2014,D49,BI,_T,_T,_T,ISCED11_2,PT,0,N,2014,13.5
2015,D49,BI,_T,_T,_T,ISCED11_2,PT,0,N,2015,16.2
2016,D49,BI,_T,_T,_T,ISCED11_2,PT,0,N,2016,21.1
2018,D49,BI,_T,_T,_T,ISCED11_2,PT,0,N,2018,25.1
2010,D49,BI,_T,_T,_T,ISCED11_3,PT,0,N,2010,20.8
2011,D49,BI,_T,_T,_T,ISCED11_3,PT,0,N,2011,22.4
2012,D49,BI,_T,_T,_T,ISCED11_3,PT,0,N,2012,23.2
2013,D49,BI,_T,_T,_T,ISCED11_3,PT,0,N,2013,19.9
2014,D49,BI,_T,_T,_T,ISCED11_3,PT,0,N,2014,18.5
2015,D49,BI,_T,_T,_T,ISCED11_3,PT,0,N,2015,13.6
2016,D49,BI,_T,_T,_T,ISCED11_3,PT,0,N,2016,12.4
2018,D49,BI,_T,_T,_T,ISCED11_3,PT,0,N,2018,19.4
