Year,SERIES,REF_AREA,SEX,AGE,URBANISATION,EDUCATION_LEV,UNIT_MEASURE,UNIT_MULT,REPORTING_TYPE,TIME_DETAIL,Value
2010,SG_REG_CENSUS,BI,_T,_T,_T,_T,PT,0,N,2010,2008.0
2011,SG_REG_CENSUS,BI,_T,_T,_T,_T,PT,0,N,2011,2008.0
2012,SG_REG_CENSUS,BI,_T,_T,_T,_T,PT,0,N,2012,2008.0
2013,SG_REG_CENSUS,BI,_T,_T,_T,_T,PT,0,N,2013,2008.0
2014,SG_REG_CENSUS,BI,_T,_T,_T,_T,PT,0,N,2014,2008.0
2015,SG_REG_CENSUS,BI,_T,_T,_T,_T,PT,0,N,2015,2008.0
2016,SG_REG_CENSUS,BI,_T,_T,_T,_T,PT,0,N,2016,2008.0
2017,SG_REG_CENSUS,BI,_T,_T,_T,_T,PT,0,N,2017,2008.0
2010,SG_REG_BRTH90,BI,F,_T,_T,_T,PT,0,N,2010,74.9
2017,SG_REG_BRTH90,BI,F,_T,_T,_T,PT,0,N,2017,83.3
2010,SG_REG_BRTH90,BI,M,_T,_T,_T,PT,0,N,2010,75.4
2017,SG_REG_BRTH90,BI,M,_T,_T,_T,PT,0,N,2017,83.7
2010,SG_REG_BRTH90,BI,_T,_T,_T,_T,PT,0,N,2010,75.2
2014,SG_REG_BRTH90,BI,_T,_T,_T,_T,PT,0,N,2014,76.0
2017,SG_REG_BRTH90,BI,_T,_T,_T,_T,PT,0,N,2017,83.5
2010,SG_REG_BRTH90,BI,_T,_T,U,_T,PT,0,N,2010,86.6
2017,SG_REG_BRTH90,BI,_T,_T,U,_T,PT,0,N,2017,90.3
2010,SG_REG_BRTH90,BI,_T,_T,R,_T,PT,0,N,2010,74.1
2017,SG_REG_BRTH90,BI,_T,_T,R,_T,PT,0,N,2017,82.8
