Year,SERIES,REF_AREA,SEX,AGE,URBANISATION,EDUCATION_LEV,UNIT_MEASURE,UNIT_MULT,REPORTING_TYPE,TIME_DETAIL,Value
2014,D87,BI,_T,_T,_T,_T,PT,0,N,2014,7.4
2014,D87,BI,_T,_T,U,_T,PT,0,N,2014,43.2
2014,D87,BI,_T,_T,R,_T,PT,0,N,2014,3.5
2010,D88,BI,_T,_T,U,_T,PT,0,N,2010,50191.0
2011,D88,BI,_T,_T,U,_T,PT,0,N,2011,58073.0
2012,D88,BI,_T,_T,U,_T,PT,0,N,2012,61930.0
2013,D88,BI,_T,_T,U,_T,PT,0,N,2013,66617.0
2014,D88,BI,_T,_T,U,_T,PT,0,N,2014,77412.0
2015,D88,BI,_T,_T,U,_T,PT,0,N,2015,84879.0
2016,D88,BI,_T,_T,U,_T,PT,0,N,2016,94630.0
2017,D88,BI,_T,_T,U,_T,PT,0,N,2017,88568.0
