Year,SERIES,REF_AREA,SEX,AGE,URBANISATION,EDUCATION_LEV,UNIT_MEASURE,UNIT_MULT,REPORTING_TYPE,TIME_DETAIL,Value
2015,D182_a,BI,_T,_T,_T,_T,PT,0,N,2015,550.0
2016,D182_a,BI,_T,_T,_T,_T,PT,0,N,2016,149.0
2017,D182_a,BI,_T,_T,_T,_T,PT,0,N,2017,78.0
2018,D182_a,BI,_T,_T,_T,_T,PT,0,N,2018,68.0
2015,D182_b,BI,_T,_T,_T,_T,PT,0,N,2015,393.0
2016,D182_b,BI,_T,_T,_T,_T,PT,0,N,2016,215.0
2017,D182_b,BI,_T,_T,_T,_T,PT,0,N,2017,193.0
2018,D182_b,BI,_T,_T,_T,_T,PT,0,N,2018,249.0
2015,D182_c,BI,_T,_T,_T,_T,PT,0,N,2015,26362.0
2016,D182_c,BI,_T,_T,_T,_T,PT,0,N,2016,17149.0
2017,D182_c,BI,_T,_T,_T,_T,PT,0,N,2017,6291.0
2018,D182_c,BI,_T,_T,_T,_T,PT,0,N,2018,6451.0
2017,D182_d,BI,_T,_T,_T,_T,PT,0,N,2017,5.0
2015,D182_e,BI,_T,_T,_T,_T,PT,0,N,2015,463.0
2016,D182_e,BI,_T,_T,_T,_T,PT,0,N,2016,172.0
2017,D182_e,BI,_T,_T,_T,_T,PT,0,N,2017,25.0
2015,D182_f,BI,_T,_T,_T,_T,PT,0,N,2015,407.0
2016,D182_f,BI,_T,_T,_T,_T,PT,0,N,2016,337.0
2017,D182_f,BI,_T,_T,_T,_T,PT,0,N,2017,330.0
2015,D182_g,BI,_T,_T,_T,_T,PT,0,N,2015,20409.0
2016,D182_g,BI,_T,_T,_T,_T,PT,0,N,2016,13995.0
2017,D182_g,BI,_T,_T,_T,_T,PT,0,N,2017,8341.0
2015,D182_h,BI,_T,_T,_T,_T,PT,0,N,2015,14.0
2016,D182_h,BI,_T,_T,_T,_T,PT,0,N,2016,22.0
2017,D182_h,BI,_T,_T,_T,_T,PT,0,N,2017,0.0
