Year,SERIES,REF_AREA,SEX,AGE,URBANISATION,EDUCATION_LEV,UNIT_MEASURE,UNIT_MULT,REPORTING_TYPE,TIME_DETAIL,Value
2010,SN_ITK_DEFC,BI,F,_T,_T,_T,PT,0,N,2010,25.9
2017,SN_ITK_DEFC,BI,F,_T,_T,_T,PT,0,N,2017,28.1
2010,SN_ITK_DEFC,BI,M,_T,_T,_T,PT,0,N,2010,31.5
2017,SN_ITK_DEFC,BI,M,_T,_T,_T,PT,0,N,2017,31.8
2010,SN_ITK_DEFC,BI,_T,_T,_T,_T,PT,0,N,2010,29.0
2017,SN_ITK_DEFC,BI,_T,_T,_T,_T,PT,0,N,2017,30.0
2010,SN_ITK_DEFC,BI,_T,M0T11,_T,_T,PT,0,N,2010,24.4
2017,SN_ITK_DEFC,BI,_T,M0T11,_T,_T,PT,0,N,2017,22.6
2010,SN_ITK_DEFC,BI,_T,M12T23,_T,_T,PT,0,N,2010,33.5
2017,SN_ITK_DEFC,BI,_T,M12T23,_T,_T,PT,0,N,2017,29.8
2010,SN_ITK_DEFC,BI,_T,M24T59,_T,_T,PT,0,N,2010,29.1
2017,SN_ITK_DEFC,BI,_T,M24T59,_T,_T,PT,0,N,2017,32.2
